ID,Node_Type,Node_Label,Parent,Question
1,Regulasi,Peraturan Otoritas Jasa Keuangan Nomor 11/POJK.03/2022 tentang Penyelenggaraan Teknologi Informasi oleh Bank Umum,,"Mau nanya dong, apa saja tujuan utama OJK dalam menerbitkan regulasi POJK 11/2022 tentang TI Bank?"
2,Bab,BAB I KETENTUAN UMUM,Regulasi,Tolong buatin rangkuman sederhana dong buat aturan-aturan yang ada di BAB I KETENTUAN UMUM!
3,Pasal,Pasal 1,BAB I KETENTUAN UMUM,Tolong jabarkan dong poin-poin wajib yang harus dipenuhi bank biar aman dari sanksi Pasal 1!
4,Bab,BAB II TATA KELOLA TI BANK,Regulasi,"Mau nanya dong, apa maksud utama OJK mencantumkan bab khusus tentang II TATA KELOLA TI BANK ini?"
5,Bagian,Bagian Kesatu Umum,BAB II TATA KELOLA TI BANK,"Ada yang tahu nggak, apa saja poin krusial yang dibahas di Bagian Kesatu Umum dari BAB II TATA KELOLA TI BANK?"
6,Pasal,Pasal 2,Bagian Kesatu Umum,Pasal 2 POJK No. 11/POJK.03/2022 itu sebenarnya ngatur soal apa sih? Tolong jelasin pakai bahasa santai.
7,Ayat,Pasal 2 ayat (1),Pasal 2,Syarat utama apa yang wajib dipenuhi bank sesuai dengan bunyi ketentuan Pasal 2 ayat (1)?
8,Ayat,Pasal 2 ayat (2),Pasal 2,Tolong jelasin maksud operasional dari Pasal 2 ayat (2) POJK No. 11/POJK.03/2022.
9,Ayat,Pasal 2 ayat (3),Pasal 2,Siapa saja sih pihak atau unit kerja bank yang wajib mematuhi aturan di Pasal 2 ayat (3)?
10,Ayat,Pasal 2 ayat (4),Pasal 2,"Mau nanya dong, apa maksud dari Pasal 2 ayat (4) POJK 11 sih?"
11,Pasal,Pasal 3,Bagian Kesatu Umum,Pasal 3 POJK No. 11/POJK.03/2022 itu sebenarnya ngatur soal apa sih? Tolong jelasin pakai bahasa santai.
12,Ayat,Pasal 3 ayat (1),Pasal 3,Syarat utama apa yang wajib dipenuhi bank sesuai dengan bunyi ketentuan Pasal 3 ayat (1)?
13,Ayat,Pasal 3 ayat (2),Pasal 3,Tolong jelasin maksud operasional dari Pasal 3 ayat (2) POJK No. 11/POJK.03/2022.
14,Ayat,Pasal 3 ayat (3),Pasal 3,Siapa saja sih pihak atau unit kerja bank yang wajib mematuhi aturan di Pasal 3 ayat (3)?
15,Ayat,Pasal 3 ayat (4),Pasal 3,"Mau nanya dong, syarat utamanya apa untuk Pasal 3 ayat (4) POJK 11 di aturan OJK?"
16,Bagian,Bagian Kedua Penerapan Tata Kelola TI Bank,BAB II TATA KELOLA TI BANK,Tolong jelasin dong maksud dari dibuatnya Bagian Kedua Penerapan Tata Kelola TI Bank pada bab BAB II TATA KELOLA TI BANK!
17,Pasal,Pasal 4,Bagian Kedua Penerapan Tata Kelola TI Bank,"Mau nanya dong, gimana kewajiban bank atau direksi yang tertuang di Pasal 4 POJK 11?"
18,Pasal,Pasal 5,Bagian Kedua Penerapan Tata Kelola TI Bank,Tolong jabarkan dong poin-poin wajib yang harus dipenuhi bank biar aman dari sanksi Pasal 5!
19,Pasal,Pasal 6,Bagian Kedua Penerapan Tata Kelola TI Bank,Apa saja konsekuensi riil kalau bank melalaikan aturan di Pasal 6 POJK TI Bank ini?
20,Pasal,Pasal 7,Bagian Kedua Penerapan Tata Kelola TI Bank,"Mau nanya dong, apa maksud dari Pasal 7 POJK TI Bank sih?"
21,Ayat,Pasal 7 ayat (1),Pasal 7,Maksud dari aturan di Pasal 7 ayat (1) itu apa ya buat orang awam? Tolong kasih contoh konkretnya.
22,Ayat,Pasal 7 ayat (2),Pasal 7,Syarat utama apa yang wajib dipenuhi bank sesuai dengan bunyi ketentuan Pasal 7 ayat (2)?
23,Ayat,Pasal 7 ayat (3),Pasal 7,Tolong jelasin maksud operasional dari Pasal 7 ayat (3) POJK No. 11/POJK.03/2022.
24,Ayat,Pasal 7 ayat (4),Pasal 7,Siapa saja sih pihak atau unit kerja bank yang wajib mematuhi aturan di Pasal 7 ayat (4)?
25,Pasal,Pasal 8,Bagian Kedua Penerapan Tata Kelola TI Bank,"Mau nanya dong, syarat utamanya apa untuk Pasal 8 POJK TI Bank di aturan OJK?"
